workerid,img_order,kind,selection,id,type,order,condition,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"[u'good', u'bad']",critical,target,reindeer,is,1,target,English,2,Male,34,No,,No,0.5,3,Windows,1080,1920,Chrome,36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3BRS3IGD6GUZKVJA2VCGBCMJF29TR5,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.50,Sun Nov 11 19:56:17 PST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Tue Dec 11 19:56:17 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3X0H8UUIT2NMAKDS8ZGHSA2F1NSSWW,0,Submitted,Mon Nov 12 12:41:14 PST 2018,Sun Nov 11 19:58:18 PST 2018,Sun Nov 11 20:01:14 PST 2018,,,,,,[],"""target""",1.4007
0,"[u'bad', u'good']",critical,target,flower,looks like,2,target,English,2,Male,34,No,,No,0.5,3,Windows,1080,1920,Chrome,36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3BRS3IGD6GUZKVJA2VCGBCMJF29TR5,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.50,Sun Nov 11 19:56:17 PST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Tue Dec 11 19:56:17 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3X0H8UUIT2NMAKDS8ZGHSA2F1NSSWW,0,Submitted,Mon Nov 12 12:41:14 PST 2018,Sun Nov 11 19:58:18 PST 2018,Sun Nov 11 20:01:14 PST 2018,,,,,,[],"""target""",1.4007
0,"[u'bad', u'good']",critical,target,cake,looks like,3,target,English,2,Male,34,No,,No,0.5,3,Windows,1080,1920,Chrome,36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3BRS3IGD6GUZKVJA2VCGBCMJF29TR5,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.50,Sun Nov 11 19:56:17 PST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Tue Dec 11 19:56:17 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3X0H8UUIT2NMAKDS8ZGHSA2F1NSSWW,0,Submitted,Mon Nov 12 12:41:14 PST 2018,Sun Nov 11 19:58:18 PST 2018,Sun Nov 11 20:01:14 PST 2018,,,,,,[],"""target""",1.4007
0,null,control,left,control_3,left,4,target,English,2,Male,34,No,,No,0.5,3,Windows,1080,1920,Chrome,36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3BRS3IGD6GUZKVJA2VCGBCMJF29TR5,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.50,Sun Nov 11 19:56:17 PST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Tue Dec 11 19:56:17 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3X0H8UUIT2NMAKDS8ZGHSA2F1NSSWW,0,Submitted,Mon Nov 12 12:41:14 PST 2018,Sun Nov 11 19:58:18 PST 2018,Sun Nov 11 20:01:14 PST 2018,,,,,,[],"""target""",1.4007
0,"[u'good', u'bad']",critical,target,cat,is,5,target,English,2,Male,34,No,,No,0.5,3,Windows,1080,1920,Chrome,36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3BRS3IGD6GUZKVJA2VCGBCMJF29TR5,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.50,Sun Nov 11 19:56:17 PST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Tue Dec 11 19:56:17 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3X0H8UUIT2NMAKDS8ZGHSA2F1NSSWW,0,Submitted,Mon Nov 12 12:41:14 PST 2018,Sun Nov 11 19:58:18 PST 2018,Sun Nov 11 20:01:14 PST 2018,,,,,,[],"""target""",1.4007
0,"[u'bad', u'good']",critical,target,sailboat,is,6,target,English,2,Male,34,No,,No,0.5,3,Windows,1080,1920,Chrome,36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3BRS3IGD6GUZKVJA2VCGBCMJF29TR5,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.50,Sun Nov 11 19:56:17 PST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Tue Dec 11 19:56:17 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3X0H8UUIT2NMAKDS8ZGHSA2F1NSSWW,0,Submitted,Mon Nov 12 12:41:14 PST 2018,Sun Nov 11 19:58:18 PST 2018,Sun Nov 11 20:01:14 PST 2018,,,,,,[],"""target""",1.4007
0,"[u'bad', u'good']",critical,target,rabbit,is,7,target,English,2,Male,34,No,,No,0.5,3,Windows,1080,1920,Chrome,36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3BRS3IGD6GUZKVJA2VCGBCMJF29TR5,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.50,Sun Nov 11 19:56:17 PST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Tue Dec 11 19:56:17 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3X0H8UUIT2NMAKDS8ZGHSA2F1NSSWW,0,Submitted,Mon Nov 12 12:41:14 PST 2018,Sun Nov 11 19:58:18 PST 2018,Sun Nov 11 20:01:14 PST 2018,,,,,,[],"""target""",1.4007
0,"[u'bad', u'good']",critical,target,hedgehog,looks like,8,target,English,2,Male,34,No,,No,0.5,3,Windows,1080,1920,Chrome,36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3BRS3IGD6GUZKVJA2VCGBCMJF29TR5,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.50,Sun Nov 11 19:56:17 PST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Tue Dec 11 19:56:17 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3X0H8UUIT2NMAKDS8ZGHSA2F1NSSWW,0,Submitted,Mon Nov 12 12:41:14 PST 2018,Sun Nov 11 19:58:18 PST 2018,Sun Nov 11 20:01:14 PST 2018,,,,,,[],"""target""",1.4007
0,"[u'good', u'bad']",critical,target,baseball,looks like,9,target,English,2,Male,34,No,,No,0.5,3,Windows,1080,1920,Chrome,36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3BRS3IGD6GUZKVJA2VCGBCMJF29TR5,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.50,Sun Nov 11 19:56:17 PST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Tue Dec 11 19:56:17 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3X0H8UUIT2NMAKDS8ZGHSA2F1NSSWW,0,Submitted,Mon Nov 12 12:41:14 PST 2018,Sun Nov 11 19:58:18 PST 2018,Sun Nov 11 20:01:14 PST 2018,,,,,,[],"""target""",1.4007
0,"[u'bad', u'good']",critical,target,house,looks like,10,target,English,2,Male,34,No,,No,0.5,3,Windows,1080,1920,Chrome,36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3BRS3IGD6GUZKVJA2VCGBCMJF29TR5,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.50,Sun Nov 11 19:56:17 PST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Tue Dec 11 19:56:17 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3X0H8UUIT2NMAKDS8ZGHSA2F1NSSWW,0,Submitted,Mon Nov 12 12:41:14 PST 2018,Sun Nov 11 19:58:18 PST 2018,Sun Nov 11 20:01:14 PST 2018,,,,,,[],"""target""",1.4007
0,"[u'bad', u'good']",critical,target,monkey,is,11,target,English,2,Male,34,No,,No,0.5,3,Windows,1080,1920,Chrome,36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3BRS3IGD6GUZKVJA2VCGBCMJF29TR5,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.50,Sun Nov 11 19:56:17 PST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Tue Dec 11 19:56:17 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36AZSFEYZ4Z7RPYRH1KOS0DDIJCBV8,3X0H8UUIT2NMAKDS8ZGHSA2F1NSSWW,0,Submitted,Mon Nov 12 12:41:14 PST 2018,Sun Nov 11 19:58:18 PST 2018,Sun Nov 11 20:01:14 PST 2018,,,,,,[],"""target""",1.4007
